###				Probability of exceeding the critical value
#NDF    $2=0.10   $3=0.05  $4=0.025   $5=0.01  $6=0.001   $7=0.90   $8=0.95  $9=0.975  $10=0.99 $11=0.999
#########################################################################################################
 64     78.860    83.675    88.004    93.217   104.716    49.996    46.595    43.776    40.649    34.633
 65     79.973    84.821    89.177    94.422   105.988    50.883    47.450    44.603    41.444    35.362
 66     81.085    85.965    90.349    95.626   107.258    51.770    48.305    45.431    42.240    36.093
 67     82.197    87.108    91.519    96.828   108.526    52.659    49.162    46.261    43.038    36.826
 68     83.308    88.250    92.689    98.028   109.791    53.548    50.020    47.092    43.838    37.561
 69     84.418    89.391    93.856    99.228   111.055    54.438    50.879    47.924    44.639    38.298
 70     85.527    90.531    95.023   100.425   112.317    55.329    51.739    48.758    45.442    39.036
 71     86.635    91.670    96.189   101.621   113.577    56.221    52.600    49.592    46.246    39.777
 72     87.743    92.808    97.353   102.816   114.835    57.113    53.462    50.428    47.051    40.519
 73     88.850    93.945    98.516   104.010   116.092    58.006    54.325    51.265    47.858    41.264
 74     89.956    95.081    99.678   105.202   117.346    58.900    55.189    52.103    48.666    42.010
 75     91.061    96.217   100.839   106.393   118.599    59.795    56.054    52.942    49.475    42.757
 76     92.166    97.351   101.999   107.583   119.850    60.690    56.920    53.782    50.286    43.507
 77     93.270    98.484   103.158   108.771   121.100    61.586    57.786    54.623    51.097    44.258
 78     94.374    99.617   104.316   109.958   122.348    62.483    58.654    55.466    51.910    45.010
 79     95.476   100.749   105.473   111.144   123.594    63.380    59.522    56.309    52.725    45.764
 80     96.578   101.879   106.629   112.329   124.839    64.278    60.391    57.153    53.540    46.520
 81     97.680   103.010   107.783   113.512   126.083    65.176    61.261    57.998    54.357    47.277
 82     98.780   104.139   108.937   114.695   127.324    66.076    62.132    58.845    55.174    48.036
 83     99.880   105.267   110.090   115.876   128.565    66.976    63.004    59.692    55.993    48.796
 84    100.980   106.395   111.242   117.057   129.804    67.876    63.876    60.540    56.813    49.557
 85    102.079   107.522   112.393   118.236   131.041    68.777    64.749    61.389    57.634    50.320
 86    103.177   108.648   113.544   119.414   132.277    69.679    65.623    62.239    58.456    51.085
 87    104.275   109.773   114.693   120.591   133.512    70.581    66.498    63.089    59.279    51.850
 88    105.372   110.898   115.841   121.767   134.746    71.484    67.373    63.941    60.103    52.617
 89    106.469   112.022   116.989   122.942   135.978    72.387    68.249    64.793    60.928    53.386
 90    107.565   113.145   118.136   124.116   137.208    73.291    69.126    65.647    61.754    54.155
 91    108.661   114.268   119.282   125.289   138.438    74.196    70.003    66.501    62.581    54.926
 92    109.756   115.390   120.427   126.462   139.666    75.100    70.882    67.356    63.409    55.698
 93    110.850   116.511   121.571   127.633   140.893    76.006    71.760    68.211    64.238    56.472
 94    111.944   117.632   122.715   128.803   142.119    76.912    72.640    69.068    65.068    57.246
 95    113.038   118.752   123.858   129.973   143.344    77.818    73.520    69.925    65.898    58.022
 96    114.131   119.871   125.000   131.141   144.567    78.725    74.401    70.783    66.730    58.799
 97    115.223   120.990   126.141   132.309   145.789    79.633    75.282    71.642    67.562    59.577
 98    116.315   122.108   127.282   133.476   147.010    80.541    76.164    72.501    68.396    60.356
 99    117.407   123.225   128.422   134.642   148.230    81.449    77.046    73.361    69.230    61.137
100    118.498   124.342   129.561   135.807   149.449    82.358    77.929    74.222    70.065    61.918
